id,name,description,parent_id
1,도로·보도,도로·보도 전체,
2,포트홀/균열,"차량 진동, 타이어 파손",1
3,보도블록 파손/들뜸,"휠체어·유모차 위험",1
4,가로등·신호등 고장,야간 보행 불편,1
5,도로표지·노면표시 훼손,차선 지워짐,1
6,배수로 막힘/침수,폭우 시 물고임,1
7,도시환경,도시환경 전체,
8,불법 광고물,현수막·전단지,7
9,공원·녹지 관리,나무 전지·놀이터 보수,7
10,쓰레기 무단투기·방치,대형폐기물,7
11,악취·소음,사업장·공사장,7
12,해충·유해동물,"모기, 쥐",7
13,주거환경,주거환경 전체,
14,공공주택·공용시설 불량,승강기·복도 조명,13
15,건축물 안전,외벽 균열·낙하물 위험,13
16,층간소음,야간 소음,13
17,위생·청결,분리수거·공용공간 청소,13
18,불법 증개축·용도변경,불법 가건물,13
19,교통,교통 전체,
20,불법 주정차,소방시설 앞·어린이보호구역,19
21,신호 체계·고장,신호주기 조정 요청,19
22,횡단보도·과속방지턱 설치/개선,,19
23,대중교통 시설,버스정류장 표지·의자,19
24,자전거·PM(킥보드) 질서·인프라,전용도로 훼손,19
25,그 외 신고,그 외 신고 전체,
26,재난·안전 위험,"낙석, 붕괴 우려",25
27,동물보호,유기·학대 의심,25
28,상·하수도·가스 이상,누수·악취,25
29,공공시설물 파손,벤치·안내판,25
30,기타 제안·문의,불편 제안사항,25
